F1,Open Calculator Help
Ctrl+Q,Press the M- button
Ctrl+P,Press the M+ button
Ctrl+M,Press the MS button
Ctrl+R,Press the MR button
Ctrl+L,Press the MC button
%,Press the % button
F9,Press the +/- button
/,Press the / button
*,Press the * button
+,Press the + button
-,Press the - button
R,Press the 1/? button
@,Press the square root button
0-9,Press the number buttons (0-9)
=,Press the = button
.,Press the . (decimal point) button
Backspace,Press the backspace button
Esc,Press the C button
Del,Press the CE button
